Q,A
어쩔 수 없는 게임인가?,"흐름대로 가면 안돼, 타비스 많은 흑인들이 이해하지 못하는 것이다. 항의하는 건 아무 소용 없어 만약 사람들이 우리의 최고의 히트 쇼에서 우리의 풍자를 좋아하지 않는다면, 그것을 보지 마라. 아니면 당신만의 쇼를 쓰는 게 낫겠지 더 잘해라."
"흐름대로 가면 안돼, 타비스 많은 흑인들이 이해하지 못하는 것이다. 항의하는 건 아무 소용 없어 만약 사람들이 우리의 최고의 히트 쇼에서 우리의 풍자를 좋아하지 않는다면, 그것을 보지 마라. 아니면 당신만의 쇼를 쓰는 게 낫겠지 더 잘해라.",당신은 그것이 단순한 반박이라고 느끼지 않는가?
당신은 그것이 단순한 반박이라고 느끼지 않는가?,"반박이 뭔지는 모르지만 간단하다. 맨탄 - 뉴 밀레니엄 민스트렐 쇼는 유니버설이다. 콤프턴의 흑인이나 할렘의 125위만을 위한 것이 아니다. 여기는 미국이다. 우리 조상들이 이 나라를 건설하는 것을 도왔고, 우리는 다른 사람들처럼 권리를 얻었다. 난 내 자신을 가두지 않을 거야. 이 쇼는 사람들로 하여금 생각하게 하고, 동시에 웃고 있다."
"반박이 뭔지는 모르지만 간단하다. 맨탄 - 뉴 밀레니엄 민스트렐 쇼는 유니버설이다. 콤프턴의 흑인이나 할렘의 125위만을 위한 것이 아니다. 여기는 미국이다. 우리 조상들이 이 나라를 건설하는 것을 도왔고, 우리는 다른 사람들처럼 권리를 얻었다. 난 내 자신을 가두지 않을 거야. 이 쇼는 사람들로 하여금 생각하게 하고, 동시에 웃고 있다.","인정해, 그건 정말 하기 힘든 일이야. 청구서를 지불하기 전에 빨리 전화기로 가서 우리의 자랑스러운 스폰서인 DA BAMP로부터 듣도록 하자. 125%의 순수한 즐거움 몰트 술. 당신이 기겁하고 TIMMI HILLNIGGGER. 125% 정통 GIT-TOE GEAR."
얘는 내 가장 친한 친구 슬립앤잇이야.,그리고 이 사람은 나의 가장 친한 친구 맨탄이야.
"우리 둘 다 할렘, 업타운의 번잡함을 떠났지","...큰 사과, 뉴욕, 뉴욕."
"...큰 사과, 뉴욕, 뉴욕.",우리의 뿌리로 돌아오기 위해서.
우리의 뿌리로 돌아오기 위해서.,우리 알라바미 집. 이제 우리는 겁에 질려 있다. 우리는 바마의 것이다.
우리 알라바미 집. 이제 우리는 겁에 질려 있다. 우리는 바마의 것이다.,"아니, ""도시 미끄럼틀""은 안돼. 아, 잘 익은 수박과 높은 솜의 달콤한 향기를 맡을 수 없을까?"
"아니, ""도시 미끄럼틀""은 안돼. 아, 잘 익은 수박과 높은 솜의 달콤한 향기를 맡을 수 없을까?",미수 만탄의 뜻을 그들에게 말하시오.
미수 만탄의 뜻을 그들에게 말하시오.,"고마워, Mistuh Sleep 'N Eat."
"고마워, Mistuh Sleep 'N Eat.",뎀프시 페이트를 주거나 사촌들에게 줘라.
"사촌들, 모두 창문으로 가봐 창문으로 가서 소리쳐. 난 마약에 질렸어 혼수상태에서 태어나는 크랙헤드 보조기구가 들끓는 부모들 말이야 나는 2주마다 급여의 점점 더 적은 액수의 건강한 미국인들이 그들의 봉급을 집으로 가져가는 동안, 부풀려진 복지 롤에 지쳤다. 난 지치고, 넌 지치고, 우리 모두는 소위 성경을 쿵쿵거리는 신이 두려워하고, 창녀들이 프로 운동선수들을 괴롭히는 것에 지쳤어. 10명의 다른 호에게서 10명의 아이를 얻은 이 농구 던지기, 풋볼 러닝, 호프 랩을 하는 성 범죄자들에 싫증나지 않으세요? 나는 내가 그렇다는 것을 알고 있고 Sleep 'N Eat'도 그렇다.",사실대로 말하는군
사실대로 말하는군,"창문으로 가서 소리 지르고, 폭행당하고, 멍들고, 두들겨 맞은 네 몸 안에서 네가 할 수 있는 모든 생명을 다해서 소리 질러. 깜둥이들한테 질렸어 더 이상 안 받아줄 거야!"
우리 아가씨 루친디 알지?,덩치가 큰 사람...
덩치가 큰 사람...,"그녀가 아니라, 작은 것을 가진 사람이..."
"그녀가 아니라, 작은 것을 가진 사람이...","오, 그녀."
"오, 그녀.",내일이 그녀의 생일인데 정말 멋진 걸 사주고 싶어. 마치...
"아니, 그것은 아니다. 어때...",그녀는 dem을 싫어한다.
그녀는 dem을 싫어한다.,아쉽다. 드레스 어때?
아쉽다. 드레스 어때?,"잠자는 N Eat, dem slinky, sexy, little foxy..."
"잠자는 N Eat, dem slinky, sexy, little foxy...","맨탄, 너무 짧고 너무 꽉 조여 그녀에게 투약제를 투여하고..."
"맨탄, 너무 짧고 너무 꽉 조여 그녀에게 투약제를 투여하고...",...크게. 너무 꽉 조이지도 않고 너무 지지도 않는 중간자.
...크게. 너무 꽉 조이지도 않고 너무 지지도 않는 중간자.,그거면 될 거야. 그냥 나 자신을 위해 하나 샀어.
나 때문이 아니라 내 양털머리 면화 따는 친구가...,난 네가 제거된 줄 알았는데...
난 네가 제거된 줄 알았는데...,"비키야, 그녀의 가장 친한 친구지 DAT 드레스가 널..."
"비키야, 그녀의 가장 친한 친구지 DAT 드레스가 널...",...dat은 너무 많은 돈이야. 나는 그것을 참을 수 없다. 나한텐 돈이 안 드는 드레스가 필요해
...dat은 너무 많은 돈이야. 나는 그것을 참을 수 없다. 나한텐 돈이 안 드는 드레스가 필요해,...aconite는 dat을 싸게 산다.
...aconite는 dat을 싸게 산다.,"내가 그녀에게 덜 비싼 드레스를 사줄 테니, 그녀를 저녁 식사에 데리고 나갈 돈을 좀 남겨둘 수 있다."
"내가 그녀에게 덜 비싼 드레스를 사줄 테니, 그녀를 저녁 식사에 데리고 나갈 돈을 좀 남겨둘 수 있다.",우리는 더블 데이트를 해야 해.
너네 숙녀분이 야만적이라고 들었어.,"아니, 저분은 그녀의 둘째 사촌이야 리엘 비트와 결혼한 사람이 누구지"
"아니, 저분은 그녀의 둘째 사촌이야 리엘 비트와 결혼한 사람이 누구지",우리 첫 데이트 때 엄마가 허락해 주셨거든
우리 첫 데이트 때 엄마가 허락해 주셨거든,"...아니, 그녀는..."
"...아니, 그녀는...",...응 그랬어.
...응 그랬어.,"...난 다르게 들었는데, 그건..."
"...난 다르게 들었는데, 그건...",...그때가 아니라...
...그때가 아니라...,그럼 언제 데리러 오시는 겁니까?
그럼 언제 데리러 오시는 겁니까?,주변에...
주변에...,...너무 일찍...
...너무 일찍...,...그럼...
...그럼...,"...너무 늦었어, 아마도..."
"...너무 늦었어, 아마도...",...완벽한...
...완벽한...,그게 내가 너와 나에 대해 좋아하는 거야. 우린 함께...
그게 내가 너와 나에 대해 좋아하는 거야. 우린 함께...,마카로니와 치즈처럼...
마카로니와 치즈처럼...,...그릿과 버터처럼...
...그릿과 버터처럼...,후라이드랑 치킨처럼...
어젯밤에 침대에서 떨어졌어.,너무 가까이에서 잤어?
너무 가까이에서 잤어?,나는 떨어진 곳 근처에서 너무 잤다.
나는 떨어진 곳 근처에서 너무 잤다.,너는 그 특이한 상황에서 예상치 못한 것을 예상한다.
"잠 'N Eat, 왜 그래? 10달러짜리 단어를 다 써?","만탄, 내 하이픈 문장이 그 작은 코코넛 안에 있는 모든 지성에 비해 너무 복잡할 수도 있어?"
"만탄, 내 하이픈 문장이 그 작은 코코넛 안에 있는 모든 지성에 비해 너무 복잡할 수도 있어?","잠깐만, 이 우화적 가설. 나와 언쟁하지 마라."
"잠깐만, 이 우화적 가설. 나와 언쟁하지 마라.",제미마는 팬케이크 박스에 있지 않아?
제미마는 팬케이크 박스에 있지 않아?,"Dat's yo Ben 삼촌. 생각나는데, 요즘 고민이 많아."
"Dat's yo Ben 삼촌. 생각나는데, 요즘 고민이 많아.",dat는 어때?
dat는 어때?,나는 내가 누구인지 모른다.
나는 내가 누구인지 모른다.,난 앨라배마 현관의 원숭이의 삼촌이 될 거야
난 앨라배마 현관의 원숭이의 삼촌이 될 거야,"몇 년 전에 나는 다 큰 딸을 둔 과부와 결혼했다. 아빠는 우리를 자주 방문했고 의붓딸과 사랑에 빠져 그녀와 결혼했다. 그리하여 그는 나의 사위가 되었고 의붓딸은 나의 아버지의 아내였기 때문에 나의 어머니가 되었다. 곧이어 아내가 아들을 낳았는데, 그것은 물론 아버지의 처남이자 숙부였는데, 그는 의붓어머니의 동생이었기 때문이다. 아버지의 아내도 아들의 어머니가 되었다. 그는 물론 내 동생이었고 내 딸의 아들이었기 때문에 내 손자였다. 이에 따라 아내는 어머니의 어머니였기 때문에 할머니였다."
"잠자리 N Eat, 나는 아내의 남편이자 손주였다. 그리고 lo' 그리고 보라, 남의 할머니의 남편이 그의 할아버지, I Mantan이 나의 할아버지가 되었다.","맨탄, dat sho'는 whper이다."
노래가 울려 퍼지는 것 같아.,노래 한 곡이 내 느낌이야
사람들은 그들의 행복을 많은 다른 방법으로 보여준다.,"집사람, 장례식에 온 것 같군"
많이?,그만해.
그래서 왜 그래?,뭘 알고 싶으세요?
뭘 알고 싶으세요?,좋은 물건.
좋은 물건.,난 천식 환자야 내 평생 하나였어. 흡입기 없이는 아무 데도 못 가
난 천식 환자야 내 평생 하나였어. 흡입기 없이는 아무 데도 못 가,물론이지.
물론이지.,나한테 랩을 하려는 거야?
여기는 좋은 곳이야. 돈이 꽤 들었을 거야.,"슬론, 난 dat처럼 받았어."
"슬론, 난 dat처럼 받았어.","오, 그래, 응?"
"오, 그래, 응?",그냥 뭔가 좀 있어
그냥 뭔가 좀 있어,뭔가 좀 아껴줬으면 좋겠는데
뭔가 좀 아껴줬으면 좋겠는데,빈털터리가 될 생각은 전혀 없어
빈털터리가 될 생각은 전혀 없어,"너도 알다시피, 세기 초에 아프리카계 미국인은 흑인으로 공연해야 했어. 버트 윌리엄스라고 들어봤어? 그는 위대한 예술가였다."
"너도 알다시피, 세기 초에 아프리카계 미국인은 흑인으로 공연해야 했어. 버트 윌리엄스라고 들어봤어? 그는 위대한 예술가였다.","아니, 내 시간 전에."
"아니, 내 시간 전에.","넌 책을 안 읽는구나, 그렇지?"
"넌 책을 안 읽는구나, 그렇지?",내 평생 책 한 권을 읽어 본 적이 없다.
내 평생 책 한 권을 읽어 본 적이 없다.,네가 먼저 시작해야 할지도 몰라.
네가 먼저 시작해야 할지도 몰라.,어쩌면 많은 일을 해야 할지도 몰라.
어쩌면 많은 일을 해야 할지도 몰라.,버트 윌리엄스와 나머지 사람들은 블랙아웃을 해야 했다. 그들은 선택의 여지가 없었다. 그것들은 인간의 3/5로 여겨졌다. 당신은 그것이 미국 헌법에 쓰여 있다는 것을 아십니까?
왜 갑자기 나한테 화풀이를 하는 거야? 이 검은 얼굴 사건은 처음부터 있었던 거래의 일부였다. 네가 이 모든 일의 일부가 아닌 것처럼 하려고 하지도 마. 델라크루아랑 같이 있어,너와 체바가 다치지 않았으면 좋겠어
너와 체바가 다치지 않았으면 좋겠어,우리 스스로를 돌볼 수 있어.
그에게 전화하지 그래?,뭐 때문이지요? 그는 떠났다. 내가 아니다
넌 이게 좋은 생각이라고 확신해.,내 백성은 나를 사랑한다.
내가 먼저 갈게. 얼굴 좀 펴야지.,그거 알아?
그거 알아?,뭐?
뭐?,그렇게 예뻐 보이네.
어떻게 이 일을 얻었니?,처음엔 인턴으로 일하다가 이 자리에까지 올라갔지
처음엔 인턴으로 일하다가 이 자리에까지 올라갔지,뭐 빠뜨린 거 있어?
뭐 빠뜨린 거 있어?,내 인턴십이 만료된 후 델라는 감명을 받아 나에게 그의 조수 자리를 제의했다.
내 인턴십이 만료된 후 델라는 감명을 받아 나에게 그의 조수 자리를 제의했다.,그런데요?
그런데요?,그리고 뭐?
그리고 뭐?,슬론 놀리지 마
슬론 놀리지 마,뭘 알고 싶은지 물어봐.
뭘 알고 싶은지 물어봐.,"오, 내가 말하게 만들거야."
"오, 내가 말하게 만들거야.","뭐라고, 맨레이?"
"뭐라고, 맨레이?",델라랑 잤어?
델라랑 잤어?,"한 번, 딱 한 번. 그건 그 일과 아무 상관도 없어, 바보 같은 짓이었어. 내가 가진 모든 것은 내가 얻은 것이다."
"한 번, 딱 한 번. 그건 그 일과 아무 상관도 없어, 바보 같은 짓이었어. 내가 가진 모든 것은 내가 얻은 것이다.","오, 제발."
"오, 제발.",그것은 고대의 역사다. 그건 너와 나와는 상관없는 일이야.
"그래서 너는 말한다. 슬론, 네가 델라를 이용했던 것처럼 날 이용하려고? 꼭대기까지 올려놔. 이 일에 종사하는 사람들이 ""아이홉""처럼 널 배신할 줄은 상상도 못했어","날 잊어버려, 델라의 꼭두각시야?"
"날 잊어버려, 델라의 꼭두각시야?",화제를 바꾸려고 하지 마라.
화제를 바꾸려고 하지 마라.,대답하지 그래?
대답하지 그래?,내가 너의 꼭두각시가 되지 않을 거라는 걸 알아.
내가 너의 꼭두각시가 되지 않을 거라는 걸 알아.,이제 가도 돼.
이제 가도 돼.,어쨌든 나는 영원히 떠날 것이다.
"좋은 하루 되세요, 젊은 선생님.",좋은 아침.
좋은 아침.,어디로 가는 길이야?
어디로 가는 길이야?,그건 네가 알 바 아니다.
그건 네가 알 바 아니다.,당신의 어머니는 당신이 여행할 때 그렇게 젊은 사람을 놓아주는 노상강도 때문에 두렵지 않으세요?
당신의 어머니는 당신이 여행할 때 그렇게 젊은 사람을 놓아주는 노상강도 때문에 두렵지 않으세요?,"천만에요. 나는 이미 처형한 좋은 권총 한 쌍을 가지고 있고, 다시 그것을 할 준비가 되어 있다."
"두건 씨, 내가 이 집에서 심한 모욕을 당했소 나는 이런 식으로 진행되는 것에 전혀 만족하지 않는다. 난 영국인이고, 재산가야. 그리고 난...","만약 네가 모욕당했지만 만족하지 못한다면, 우리가 둘이라는 걸 기억해라, 베스트."
우리 둘 다 여기서 베스트와 함께 집에 가는 거야.,나는 노상강도 무섭지 않다. 내 부하도 무장했어 나도 마찬가지야
나는 노상강도 무섭지 않다. 내 부하도 무장했어 나도 마찬가지야,"넌 무기의 사용법을 잘 알고 있어, 베스트. 그리고 아무도 네 용기를 의심하지 않을 거야. 하지만 마이클과 나는 그 모든 것을 위해 너를 집에 데려다 줄 거야."
"다른 건 아무것도 없어. 입장을 바꿔라, 그로건. 열두 걸음?","10명, 함장님, 그리고 짧은 걸로 하시죠, 그루건 대위님?"
